,Submarket,Housing_Type,Cluster
577,Mecklenburg County 13 (NC), Single Family,3
578,Mecklenburg County 13 (NC), Single Family,3
579,Davidson, Single Family,3
580,Mecklenburg County 29 (NC), Single Family,1
581,Mecklenburg County 27 (NC), Single Family,3
582,Mecklenburg County 16 (NC), Single Family,3
583,Mecklenburg County 16 (NC), Single Family,3
584,Mecklenburg County 16 (NC), Single Family,3
585,Mecklenburg County 16 (NC), Single Family,3
586,Mecklenburg County 29 (NC), Single Family,1
587,Mecklenburg County 26 (NC), Single Family,3
588,Davidson, Townhouse,1
589,Davidson, Townhouse,1
590,Davidson, Single Family,3
591,Mecklenburg County 30 (NC), Single Family,3
592,Mecklenburg County 30 (NC), Townhouse,1
593,Mecklenburg County 30 (NC), Townhouse,1
594,Huntersville, Single Family,2
595,Mecklenburg County 3 (NC), Single Family,3
596,Mecklenburg County 3 (NC), Single Family,3
597,Mecklenburg County 1 (NC), Condominium,4
598,Cornelius, Condominium,4
599,Davidson, Single Family,3
600,Davidson, Single Family,3
601,Davidson, Single Family,3
602,Mecklenburg County 10 (NC), Single Family,3
603,Davidson, Single Family,3
604,Mecklenburg County 27 (NC), Single Family,3
605,Mecklenburg County 27 (NC), Single Family,3
606,Mecklenburg County 29 (NC), Single Family,1
607,Mecklenburg County 35 (NC), Single Family,0
608,Mecklenburg County 1 (NC), Condominium,4
609,Mecklenburg County 29 (NC), Single Family,1
610,Matthews, Single Family,3
611,Mecklenburg County 16 (NC), Single Family,3
612,Huntersville, Townhouse,2
613,Huntersville, Townhouse,2
614,Huntersville, Townhouse,2
615,Mecklenburg County 6 (NC), Single Family,3
616,Huntersville, Condominium,2
617,Huntersville, Condominium,2
618,Mecklenburg County 27 (NC), Single Family,3
619,Mecklenburg County 34 (NC), Single Family,3
620,Mecklenburg County 9 (NC), Single Family,3
621,Mecklenburg County 9 (NC), Townhouse,1
622,Mecklenburg County 9 (NC), Townhouse,1
623,Mecklenburg County 15 (NC), Single Family,3
624,Mecklenburg County 9 (NC), Single Family,3
