,Stories,Bedrooms,Bathrooms,Housing_Type,Cluster
458,2.0,4.0,4.5, Single Family,0
459,1.0,3.0,1.5, Single Family,1
460,1.0,3.0,2.5, Single Family,1
461,1.0,3.0,1.0, Single Family,1
462,2.0,4.0,2.5, Single Family,0
463,1.0,3.0,2.5, Single Family,1
464,2.0,3.0,2.5, Single Family,0
465,2.5,2.0,2.5, Condominium,3
466,2.0,3.0,2.0, Single Family,0
467,1.0,2.0,2.0, Townhouse,2
468,1.0,3.0,2.0, Single Family,1
469,1.0,2.0,2.0, Condominium,3
470,1.0,2.0,2.0, Townhouse,2
471,2.0,2.0,2.5, Townhouse,2
472,1.0,3.0,2.0, Single Family,1
473,2.0,2.0,2.5, Single Family,0
474,2.0,2.0,2.5, Single Family,0
475,2.0,5.0,3.5, Single Family,0
476,2.0,4.0,3.5, Single Family,0
477,1.0,3.0,2.0, Single Family,1
478,2.0,3.0,2.5, Single Family,0
479,2.0,4.0,2.5, Single Family,0
480,1.5,3.0,3.0, Single Family,0
481,1.0,3.0,2.0, Single Family,1
482,2.0,2.0,2.5, Townhouse,2
483,1.0,3.0,1.0, Single Family,1
484,1.0,3.0,2.0, Single Family,1
485,1.0,3.0,2.5, Single Family,1
486,1.0,3.0,2.0, Single Family,1
487,2.0,3.0,2.5, Single Family,0
488,1.0,2.0,1.0, Single Family,1
489,2.0,2.0,2.5, Townhouse,2
490,2.0,4.0,3.5, Single Family,0
491,2.0,4.0,2.5, Single Family,0
492,2.5,2.0,2.5, Condominium,3
493,2.5,2.0,2.5, Condominium,3
494,2.0,3.0,2.5, Single Family,0
495,2.0,4.0,2.5, Single Family,0
496,2.0,4.0,2.5, Single Family,0
497,2.0,2.0,2.5, Townhouse,2
498,2.0,2.0,2.5, Townhouse,2
499,2.0,2.0,2.5, Townhouse,2
500,2.5,4.0,3.5, Single Family,0
501,1.0,3.0,1.5, Single Family,1
502,2.0,4.0,2.5, Single Family,0
503,2.0,3.0,2.5, Townhouse,2
504,1.0,2.0,1.0, Single Family,1
505,1.0,3.0,1.0, Single Family,1
506,2.0,5.0,4.0, Single Family,0
507,1.0,3.0,1.5, Single Family,1
508,1.0,3.0,2.5, Single Family,1
509,1.0,3.0,1.5, Single Family,1
510,2.0,4.0,2.5, Single Family,0
511,2.0,3.0,2.5, Single Family,0
512,2.5,3.0,3.0, Townhouse,2
513,2.5,3.0,2.5, Townhouse,2
514,2.0,3.0,2.5, Single Family,0
515,2.0,4.0,2.5, Single Family,0
516,2.0,3.0,2.5, Single Family,0
517,1.0,3.0,2.0, Single Family,1
518,1.0,2.0,1.5, Single Family,1
519,1.0,2.0,1.0, Single Family,1
520,2.0,2.0,2.5, Townhouse,2
521,1.0,3.0,1.0, Single Family,1
522,2.0,3.0,2.0, Single Family,0
523,1.0,3.0,2.0, Single Family,1
524,1.0,3.0,2.0, Single Family,1
525,1.0,2.0,2.0, Single Family,1
526,1.0,1.0,1.0, Condominium,3
527,2.0,4.0,2.5, Single Family,0
528,2.0,4.0,2.5, Single Family,0
529,2.0,2.0,2.0, Single Family,1
530,1.0,3.0,2.0, Single Family,1
531,2.0,3.0,2.5, Single Family,0
532,2.0,3.0,2.5, Single Family,0
533,2.0,3.0,2.0, Single Family,0
534,2.0,3.0,2.5, Townhouse,2
535,2.0,4.0,2.5, Single Family,0
536,1.5,2.0,2.0, Condominium,3
537,1.0,3.0,2.5, Condominium,3
538,2.0,3.0,2.5, Single Family,0
539,1.5,3.0,2.0, Single Family,1
540,2.0,3.0,2.5, Townhouse,2
541,2.0,4.0,3.5, Single Family,0
542,1.0,3.0,1.5, Single Family,1
543,1.0,4.0,2.0, Single Family,1
544,1.0,3.0,2.0, Single Family,1
545,1.5,3.0,2.0, Single Family,1
546,2.0,3.0,2.5, Single Family,0
547,2.0,2.0,2.5, Townhouse,2
548,2.0,2.0,2.5, Condominium,3
549,1.0,2.0,2.0, Condominium,3
550,1.0,3.0,2.0, Condominium,3
551,1.5,3.0,2.0, Single Family,1
552,1.0,3.0,1.0, Single Family,1
553,1.0,3.0,2.0, Single Family,1
554,1.5,3.0,2.5, Single Family,1
555,2.0,2.0,2.5, Townhouse,2
556,2.0,4.0,2.5, Single Family,0
557,2.0,4.0,2.5, Single Family,0
558,2.0,3.0,2.5, Single Family,0
559,2.0,4.0,2.5, Single Family,0
560,2.0,4.0,2.5, Single Family,0
561,1.0,3.0,1.5, Single Family,1
562,1.0,3.0,2.0, Single Family,1
563,2.0,3.0,2.5, Single Family,0
564,1.5,3.0,2.0, Single Family,1
565,2.0,3.0,2.5, Single Family,0
566,2.0,3.0,2.5, Single Family,0
567,2.0,3.0,2.5, Single Family,0
568,2.0,3.0,2.5, Single Family,0
569,2.0,3.0,2.5, Single Family,0
570,2.0,4.0,2.5, Single Family,0
571,1.5,4.0,3.5, Single Family,0
572,2.0,4.0,3.5, Single Family,0
573,1.0,2.0,1.0, Condominium,3
574,2.0,4.0,2.5, Single Family,0
575,1.0,3.0,2.0, Single Family,1
576,1.0,3.0,2.0, Single Family,1
577,1.0,3.0,1.0, Single Family,1
578,2.0,3.0,2.5, Single Family,0
579,2.0,4.0,2.5, Single Family,0
580,2.0,4.0,3.5, Single Family,0
581,2.0,4.0,2.5, Single Family,0
582,2.0,5.0,3.5, Single Family,0
583,1.5,4.0,3.5, Single Family,0
584,1.0,3.0,2.5, Single Family,1
585,1.5,4.0,2.0, Single Family,0
586,1.0,3.0,2.0, Single Family,1
587,1.0,3.0,1.0, Single Family,1
588,2.0,3.0,2.5, Townhouse,2
589,2.0,3.0,2.5, Townhouse,2
590,2.0,5.0,4.0, Single Family,0
591,2.0,3.0,2.5, Single Family,0
592,2.0,3.0,2.5, Townhouse,2
593,2.0,3.0,2.5, Townhouse,2
594,1.0,3.0,2.0, Single Family,1
595,2.0,4.0,2.5, Single Family,0
596,1.5,3.0,2.0, Single Family,1
597,1.0,1.0,1.0, Condominium,3
598,2.0,4.0,2.5, Condominium,3
599,2.0,3.0,2.5, Single Family,0
600,2.0,5.0,3.5, Single Family,0
601,2.0,4.0,3.5, Single Family,0
602,2.0,3.0,2.5, Single Family,0
603,2.0,5.0,2.5, Single Family,0
604,1.0,3.0,2.5, Single Family,1
605,1.0,3.0,2.5, Single Family,1
606,2.0,3.0,2.5, Single Family,0
607,2.0,5.0,3.5, Single Family,0
608,1.0,2.0,2.0, Condominium,3
609,2.0,4.0,2.5, Single Family,0
610,2.0,3.0,2.5, Single Family,0
611,1.5,3.0,2.0, Single Family,1
612,2.5,3.0,3.0, Townhouse,2
613,2.0,2.0,2.5, Townhouse,2
614,2.0,2.0,2.5, Townhouse,2
615,1.0,3.0,1.0, Single Family,1
616,1.0,2.0,2.0, Condominium,3
617,1.0,2.0,2.0, Condominium,3
618,1.0,3.0,1.0, Single Family,1
619,2.0,5.0,2.5, Single Family,0
620,2.0,4.0,2.5, Single Family,0
621,2.0,2.0,2.5, Townhouse,2
622,2.0,3.0,2.5, Townhouse,2
623,1.5,3.0,2.5, Single Family,1
624,1.0,3.0,2.0, Single Family,1
625,2.0,3.0,2.5, Townhouse,2
626,2.0,3.0,2.5, Single Family,0
627,1.5,4.0,2.0, Single Family,0
628,2.0,4.0,2.5, Single Family,0
629,2.0,4.0,2.5, Single Family,0
630,2.0,4.0,2.5, Single Family,0
631,1.0,3.0,2.0, Single Family,1
632,1.0,3.0,2.0, Single Family,1
633,2.0,3.0,3.5, Single Family,0
634,1.0,1.0,1.0, Condominium,3
635,1.0,3.0,2.0, Single Family,1
636,1.5,3.0,2.5, Single Family,1
637,2.0,4.0,3.5, Single Family,0
638,2.0,5.0,6.5, Single Family,0
639,2.0,3.0,2.5, Single Family,0
640,2.0,5.0,3.5, Single Family,0
641,2.0,4.0,3.5, Single Family,0
642,1.0,3.0,3.0, Condominium,3
643,1.0,2.0,1.0, Condominium,3
644,1.0,2.0,1.0, Condominium,3
645,2.0,3.0,2.5, Single Family,0
646,2.5,4.0,3.5, Townhouse,2
647,2.0,2.0,2.0, Condominium,3
648,1.0,2.0,2.0, Condominium,3
649,1.0,3.0,1.5, Single Family,1
650,1.0,3.0,2.0, Single Family,1
651,2.0,4.0,2.5, Single Family,0
652,2.0,3.0,2.5, Condominium,3
