,Site_Zip,Housing_Type,Cluster
851,28205, Single Family,2
852,28278, Single Family,2
853,28078, Single Family,2
854,28078, Single Family,2
855,28227, Single Family,2
856,28036, Condominium,3
857,28277, Townhouse,0
858,28277, Single Family,2
859,28277, Single Family,2
860,28277, Single Family,2
861,28078, Single Family,2
862,28273, Townhouse,0
863,28226, Single Family,2
864,28226, Single Family,2
865,28210, Single Family,3
866,28078, Single Family,2
867,28211, Single Family,4
868,28211, Single Family,4
869,28211, Single Family,4
870,28211, Townhouse,4
871,28211, Single Family,4
872,28278, Single Family,2
873,28214, Single Family,2
874,28226, Single Family,2
875,28217, Townhouse,0
876,28105, Townhouse,0
877,28105, Townhouse,0
878,28105, Townhouse,0
879,28226, Single Family,2
880,28226, Townhouse,0
881,28036, Single Family,2
882,28205, Single Family,2
883,28208, Single Family,2
884,28208, Single Family,2
885,28203, Single Family,2
886,28203, Single Family,2
887,28269, Single Family,2
888,28078, Single Family,2
889,28078, Townhouse,0
890,28273, Single Family,2
891,28216, Single Family,0
892,28031, Condominium,1
893,28213, Single Family,2
894,28278, Single Family,2
895,28105, Single Family,2
896,28105, Single Family,2
897,28277, Single Family,2
898,28214, Single Family,2
899,28227, Single Family,2
900,28215, Single Family,2
901,28269, Single Family,2
902,28270, Single Family,2
903,28215, Single Family,2
904,28215, Single Family,2
905,28208, Townhouse,0
906,28202, Condominium,3
907,28031, Condominium,1
908,28134, Townhouse,0
909,28204, Condominium,3
910,28031, Single Family,1
911,28202, Condominium,3
912,28202, Condominium,3
913,28202, Condominium,3
914,28209, Condominium,3
915,28209, Condominium,3
916,28269, Single Family,2
917,28269, Single Family,2
918,28216, Townhouse,0
919,28208, Single Family,2
920,28215, Single Family,2
921,28031, Townhouse,1
922,28203, Single Family,2
923,28203, Single Family,2
924,28273, Single Family,2
925,28212, Single Family,2
926,28213, Single Family,2
927,28213, Townhouse,0
928,28213, Townhouse,0
929,28216, Single Family,0
930,28227, Single Family,2
931,28227, Single Family,2
932,28209, Condominium,3
933,28209, Condominium,3
934,28031, Single Family,1
935,28031, Single Family,1
936,28205, Single Family,2
937,28205, Single Family,2
938,28205, Single Family,2
939,28203, Condominium,3
940,28277, Townhouse,0
941,28227, Townhouse,0
942,28216, Townhouse,0
943,28031, Condominium,1
944,28214, Single Family,2
945,28205, Single Family,2
946,28226, Single Family,2
947,28226, Single Family,2
948,28226, Single Family,2
949,28216, Single Family,0
950,28226, Single Family,2
951,28205, Single Family,2
952,28205, Single Family,2
953,28214, Single Family,2
954,28210, Condominium,3
955,28031, Single Family,1
956,28105, Single Family,2
957,28105, Single Family,2
958,28216, Single Family,0
959,28216, Single Family,0
960,28211, Condominium,4
961,28211, Single Family,4
962,28208, Single Family,2
963,28208, Single Family,2
964,28226, Single Family,2
965,28214, Single Family,2
966,28031, Single Family,1
967,28216, Single Family,0
968,28208, Single Family,2
969,28214, Single Family,2
970,28215, Single Family,2
971,28211, Single Family,4
972,28277, Single Family,2
973,28277, Single Family,2
974,28205, Condominium,3
975,28205, Condominium,3
976,28209, Single Family,2
977,28209, Single Family,2
978,28031, Single Family,1
979,28210, Condominium,3
980,28270, Single Family,2
981,28270, Single Family,2
982,28270, Single Family,2
983,28203, Single Family,2
984,28203, Single Family,2
985,28277, Single Family,2
986,28214, Single Family,2
987,28104, Single Family,2
988,28226, Single Family,2
989,28278, Single Family,2
990,28278, Single Family,2
991,28213, Single Family,2
992,28273, Single Family,2
993,28215, Condominium,3
994,28205, Single Family,2
995,28205, Single Family,2
996,28205, Single Family,2
997,28205, Single Family,2
998,28226, Single Family,2
999,28278, Single Family,2
1000,28278, Single Family,2
1001,28226, Single Family,2
1002,28278, Single Family,2
1003,28205, Single Family,2
1004,28205, Single Family,2
1005,28269, Single Family,2
1006,28269, Single Family,2
1007,28278, Single Family,2
1008,28278, Single Family,2
1009,28262, Single Family,2
1010,28262, Single Family,2
1011,28210, Single Family,3
1012,28031, Condominium,1
1013,28227, Single Family,2
1014,28105, Single Family,2
1015,28105, Single Family,2
1016,28277, Single Family,2
1017,28226, Single Family,2
1018,28269, Single Family,2
1019,28227, Single Family,2
1020,28227, Single Family,2
1021,28269, Townhouse,0
1022,28216, Single Family,0
1023,28214, Single Family,2
1024,28204, Condominium,3
1025,28105, Single Family,2
1026,28278, Townhouse,0
1027,28217, Single Family,2
1028,28217, Single Family,2
1029,28216, Single Family,0
1030,28036, Single Family,2
1031,28215, Single Family,2
1032,28207, Condominium,3
1033,28208, Single Family,2
1034,28031, Single Family,1
1035,28214, Single Family,2
1036,28206, Single Family,2
1037,28203, Condominium,3
1038,28209, Townhouse,0
1039,28209, Townhouse,0
1040,28036, Single Family,2
1041,28078, Single Family,2
1042,28212, Townhouse,0
1043,28031, Condominium,1
1044,28214, Single Family,2
1045,28270, Single Family,2
1046,28269, Single Family,2
1047,28207, Condominium,3
1048,28226, Townhouse,0
1049,28205, Single Family,2
1050,28205, Single Family,2
1051,28211, Single Family,4
1052,28105, Single Family,2
1053,28205, Townhouse,0
1054,28205, Townhouse,0
1055,28262, Single Family,2
1056,28262, Single Family,2
1057,28277, Single Family,2
1058,28277, Single Family,2
1059,28277, Single Family,2
1060,28277, Townhouse,0
1061,28277, Townhouse,0
1062,28277, Townhouse,0
1063,28277, Single Family,2
1064,28207, Condominium,3
1065,28227, Single Family,2
1066,28209, Single Family,2
1067,28209, Single Family,2
1068,28278, Single Family,2
1069,28105, Single Family,2
1070,28105, Single Family,2
1071,28105, Single Family,2
1072,28105, Single Family,2
1073,28269, Single Family,2
1074,28273, Townhouse,0
1075,28273, Townhouse,0
1076,28273, Townhouse,0
1077,28031, Single Family,1
1078,28277, Townhouse,0
1079,28277, Single Family,2
1080,28277, Single Family,2
1081,28277, Single Family,2
1082,28277, Single Family,2
1083,28277, Single Family,2
1084,28277, Single Family,2
1085,28277, Single Family,2
1086,28277, Single Family,2
1087,28209, Single Family,2
1088,28209, Single Family,2
1089,28226, Single Family,2
1090,28226, Single Family,2
1091,28208, Single Family,2
1092,28208, Single Family,2
1093,28208, Single Family,2
1094,28210, Single Family,3
1095,28270, Single Family,2
1096,28269, Single Family,2
1097,28278, Townhouse,0
1098,28278, Single Family,2
1099,28278, Single Family,2
1100,28278, Single Family,2
1101,28278, Single Family,2
1102,28278, Single Family,2
1103,28278, Single Family,2
1104,28278, Single Family,2
1105,28278, Townhouse,0
1106,28277, Single Family,2
1107,28277, Single Family,2
1108,28213, Townhouse,0
1109,28277, Single Family,2
1110,28270, Townhouse,0
1111,28270, Townhouse,0
1112,28210, Single Family,3
1113,28210, Single Family,3
1114,28210, Single Family,3
1115,28210, Single Family,3
1116,28205, Condominium,3
1117,28078, Single Family,2
1118,28270, Single Family,2
1119,28205, Single Family,2
1120,28277, Single Family,2
1121,28277, Single Family,2
1122,28277, Townhouse,0
1123,28031, Single Family,1
1124,28031, Single Family,1
1125,28277, Townhouse,0
1126,28215, Single Family,2
1127,28215, Single Family,2
1128,28269, Single Family,2
1129,28105, Single Family,2
1130,28105, Single Family,2
1131,28205, Single Family,2
