Stories,Bedrooms,Bathrooms,Housing_Type,Site_Zip,Housing_Age
1,3,2, Single Family,28269,32
1,3,2, Single Family,28269,32
2,4,2, Single Family,28277,31
2,3,1, Single Family,28227,38
1,3,2, Single Family,28227,38
1,3,2, Single Family,28227,42
1,2,1, Single Family,28227,37
2,4,2, Single Family,28214,7
2,3,2, Single Family,28214,17
2,3,2, Single Family,28269,21
1,3,2, Single Family,28213,53
1,3,2, Single Family,28269,16
2,4,2, Single Family,28269,20
1,3,2, Single Family,28269,21
2,4,2, Single Family,28269,23
2,4,2, Single Family,28269,25
2,2,2, Single Family,28269,14
2,4,3, Single Family,28269,14
1,2,2, Townhouse,28269,16
2,4,2, Single Family,28269,18
2,4,2, Single Family,28269,17
2,3,2, Single Family,28269,20
2,3,2, Single Family,28269,18
1,3,2, Single Family,28269,20
2,2,2, Townhouse,28078,21
1,3,2, Single Family,28209,65
2,2,2, Condominium,28209,37
1,2,1, Single Family,28227,40
1,3,2, Single Family,28227,42
2,3,2, Townhouse,28216,21
2,2,2, Townhouse,28216,19
2,2,2, Townhouse,28216,20
2,2,2, Townhouse,28216,16
1,4,3, Single Family,28205,5
1,3,1, Single Family,28205,59
2,4,2, Single Family,28205,14
1,4,2, Single Family,28270,57
2,3,2, Single Family,28214,16
1,3,1, Single Family,28217,59
1,3,2, Single Family,28273,33
1,3,1, Single Family,28215,49
1,3,1, Single Family,28215,50
1,3,2, Single Family,28215,48
2,3,2, Single Family,28262,33
2,3,2, Single Family,28262,17
2,4,2, Single Family,28262,9
1,3,2, Single Family,28269,6
2,3,2, Single Family,28269,8
1,3,2, Single Family,28269,29
2,3,2, Single Family,28269,29
2,3,2, Single Family,28269,28
1,3,2, Single Family,28269,29
2,4,2, Single Family,28269,28
2,2,1, Townhouse,28269,20
2,3,2, Townhouse,28269,19
2,3,2, Townhouse,28269,21
2,3,2, Single Family,28213,19
2,3,2, Single Family,28273,27
1,2,2, Condominium,28209,36
2,4,2, Single Family,28262,32
2,5,3, Single Family,28273,15
1,4,2, Single Family,28210,53
2,4,2, Single Family,28210,52
1,2,2, Condominium,28262,19
1,2,2, Condominium,28262,19
1,3,2, Single Family,28212,51
1,3,2, Single Family,28212,50
2,4,2, Single Family,28212,48
1,3,1, Single Family,28212,57
