,Site_Zip,Stories,Sale_Price,Bedrooms,Housing_Type,Cluster
462,28277,2.0,340000,4.0, Single Family,0
463,28216,1.0,275000,3.0, Single Family,0
464,28269,2.0,245000,3.0, Single Family,0
465,28207,2.5,362000,2.0, Condominium,4
466,28205,2.0,515000,3.0, Single Family,0
467,28277,1.0,446500,2.0, Townhouse,4
468,28269,1.0,230000,3.0, Single Family,0
469,28205,1.0,119500,2.0, Condominium,4
470,28215,1.0,118000,2.0, Townhouse,4
471,28215,2.0,133000,2.0, Townhouse,4
472,28215,1.0,165000,3.0, Single Family,0
473,28278,2.0,150000,2.0, Single Family,0
474,28273,2.0,143000,2.0, Single Family,0
475,28273,2.0,335000,5.0, Single Family,0
476,28273,2.0,335000,4.0, Single Family,0
477,28215,1.0,215000,3.0, Single Family,0
478,28215,2.0,240000,3.0, Single Family,0
479,28226,2.0,715000,4.0, Single Family,0
480,28270,1.5,340000,3.0, Single Family,0
481,28105,1.0,215000,3.0, Single Family,0
482,28031,2.0,286000,2.0, Townhouse,4
483,28215,1.0,185000,3.0, Single Family,0
484,28212,1.0,170000,3.0, Single Family,0
485,28277,1.0,300000,3.0, Single Family,0
486,28212,1.0,195000,3.0, Single Family,0
487,28213,2.0,196000,3.0, Single Family,0
488,28205,1.0,225500,2.0, Single Family,0
489,28227,2.0,137000,2.0, Townhouse,3
490,28078,2.0,397000,4.0, Single Family,0
491,28078,2.0,410000,4.0, Single Family,0
492,28207,2.5,310000,2.0, Condominium,4
493,28207,2.5,333000,2.0, Condominium,4
494,28273,2.0,235000,3.0, Single Family,0
495,28269,2.0,260000,4.0, Single Family,0
496,28269,2.0,265000,4.0, Single Family,0
497,28208,2.0,289000,2.0, Townhouse,4
498,28210,2.0,155000,2.0, Townhouse,4
499,28210,2.0,153000,2.0, Townhouse,4
500,28262,2.5,405000,4.0, Single Family,0
501,28216,1.0,160000,3.0, Single Family,0
502,28270,2.0,419000,4.0, Single Family,0
503,28273,2.0,195000,3.0, Townhouse,4
504,28206,1.0,219000,2.0, Single Family,0
505,28205,1.0,327000,3.0, Single Family,0
506,28078,2.0,435000,5.0, Single Family,0
507,28210,1.0,440000,3.0, Single Family,0
508,28210,1.0,415000,3.0, Single Family,0
509,28209,1.0,480000,3.0, Single Family,0
510,28269,2.0,244000,4.0, Single Family,0
511,28031,2.0,260000,3.0, Single Family,0
512,28209,2.5,290000,3.0, Townhouse,4
513,28226,2.5,392500,3.0, Townhouse,4
514,28269,2.0,212000,3.0, Single Family,0
515,28269,2.0,240000,4.0, Single Family,0
516,28262,2.0,265000,3.0, Single Family,0
517,28269,1.0,337000,3.0, Single Family,0
518,28269,1.0,162000,2.0, Single Family,0
519,28269,1.0,145000,2.0, Single Family,0
520,28031,2.0,276000,2.0, Townhouse,4
521,28208,1.0,350000,3.0, Single Family,0
522,28227,2.0,225000,3.0, Single Family,3
523,28227,1.0,188000,3.0, Single Family,3
524,28105,1.0,304000,3.0, Single Family,0
525,28105,1.0,296000,2.0, Single Family,0
526,28211,1.0,86000,1.0, Condominium,2
527,28036,2.0,589000,4.0, Single Family,0
528,28078,2.0,316500,4.0, Single Family,0
529,28217,2.0,222500,2.0, Single Family,0
530,28208,1.0,183000,3.0, Single Family,0
531,28216,2.0,237000,3.0, Single Family,0
532,28216,2.0,208000,3.0, Single Family,0
533,28216,2.0,220000,3.0, Single Family,0
534,28270,2.0,330000,3.0, Townhouse,4
535,28031,2.0,275000,4.0, Single Family,0
536,28269,1.5,145000,2.0, Condominium,4
537,28269,1.0,130000,3.0, Condominium,4
538,28269,2.0,194000,3.0, Single Family,0
539,28226,1.5,257500,3.0, Single Family,0
540,28226,2.0,332500,3.0, Townhouse,4
541,28227,2.0,425000,4.0, Single Family,3
542,28213,1.0,215000,3.0, Single Family,0
543,28205,1.0,360000,4.0, Single Family,0
544,28205,1.0,340000,3.0, Single Family,0
545,28078,1.5,255000,3.0, Single Family,0
546,28277,2.0,308000,3.0, Single Family,0
547,28105,2.0,160000,2.0, Townhouse,4
548,28202,2.0,430000,2.0, Condominium,1
549,28204,1.0,615000,2.0, Condominium,4
550,28262,1.0,129500,3.0, Condominium,4
551,28207,1.5,710000,3.0, Single Family,0
552,28269,1.0,157000,3.0, Single Family,0
553,28262,1.0,204000,3.0, Single Family,0
554,28262,1.5,224000,3.0, Single Family,0
555,28262,2.0,190000,2.0, Townhouse,4
556,28105,2.0,360000,4.0, Single Family,0
